,player_id,targets,deep_targets,red_zone_targets,checkdown_targets,air_yards,air_yards_per_target,air_yards_est,yac,yac_est,receiver_cpoe_est,carries,yards_per_carry,ypc_est,red_zone_carries,big_carries,cpoe,cpoe_est,pass_attempts,kick_attempts,big_carry_percentage,checkdown_percentage,position,player_name,team,targets_team,carries_team,red_zone_targets_team,red_zone_carries_team,target_percentage,carry_percentage,target_share_est,carry_share_est,red_zone_target_percentage,red_zone_carry_percentage,relative_ypc,relative_ypc_est,relative_yac,relative_yac_est,relative_air_yards,relative_air_yards_est
0,00-0023459,1.0,,,1.0,-4.0,-4.0,7.835233671171172,0.0,5.197476711122338,0.18511411562487853,10.0,5.6,4.584434243815195,3.0,2.0,5.579468760578359,3.1762685103661967,272.0,,0.2,1.0,QB,Aaron Rodgers,GB,283.0,220.0,24.0,20.0,0.0035335689045936395,0.045454545454545456,0.017077798861480076,0.07077082213309668,,0.15,1.2603904840032811,1.0318173741863303,0.0,0.9858156028368794,-0.5028801996230522,0.9850459681629548
1,00-0036456,1.0,,,,8.0,8.0,7.954636656245798,,5.272260548692444,-0.6913087854337929,,,,,,,,,,,,TE,Dominique Dafney,GB,283.0,220.0,24.0,20.0,0.0035335689045936395,,0.016544117647058824,0.0,,,,,,1.0,1.0057603992461044,1.000057317405434
2,00-0036669,2.0,,,1.0,3.0,1.5,7.826724873472827,7.0,5.296767491264182,-0.5392633467947344,10.0,2.4,4.200686759562891,,,,,,,,0.5,RB,Kylin Hill,GB,283.0,220.0,24.0,20.0,0.007067137809187279,0.045454545454545456,0.020423653332300663,0.1647870182555781,,,0.5401673502871205,0.9454474317913656,1.3277037307528452,1.0046482798688348,0.1885800748586446,0.9839762416916809
3,00-0035480,3.0,,,1.0,30.0,10.0,8.01297500160665,4.0,5.23616015587383,0.19337601091933843,,,,,,,,,,,0.3333333333333333,WR,Malik Taylor,GB,283.0,220.0,24.0,20.0,0.01060070671378092,,0.04812834224598931,0.0,,,,,0.7586878461444829,0.9931527676818691,1.2572004990576306,1.0073916170956199
4,00-0036991,5.0,,1.0,,19.0,3.8,7.74885595877924,8.0,5.387013653675014,-0.6986172861248061,1.0,11.0,4.52452008015945,,1.0,,,,,1.0,,WR,Amari Rodgers,GB,283.0,220.0,24.0,20.0,0.0176678445229682,0.004545454545454545,0.04444245409762651,0.016042780748663103,0.041666666666666664,,2.4757670221493027,1.0183325095919167,1.5173756922889658,1.0217654465144046,0.4777361896418996,0.9741865578502955
5,00-0035593,6.0,,1.0,,24.0,4.0,7.722447510986201,3.5,5.173952684864095,-0.24833056426866773,,,,,,,,,,,,WR,Juwann Winfree,GB,283.0,220.0,24.0,20.0,0.02120141342756184,,0.0907563025210084,0.0,0.041666666666666664,,,,0.6638518653764226,0.9813537546332513,0.5028801996230522,0.9708664864758209
6,00-0034279,6.0,,1.0,1.0,38.0,6.333333333333333,7.858486175028225,2.6666666666666665,5.161007942713585,-0.9416006134463197,1.0,13.0,4.5493648006563445,,1.0,,,,,1.0,0.16666666666666666,WR,Equanimeous St. Brown,GB,283.0,220.0,24.0,20.0,0.02120141342756184,0.004545454545454545,0.04040999680569309,0.03529411764705882,0.041666666666666664,,2.925906480721903,1.0239243041083468,0.5057918974296552,0.9788984999979847,0.7962269827364993,0.9879692741082975
7,00-0036332,6.0,,,1.0,2.0,0.3333333333333333,7.511456055859442,7.0,5.414878057032038,1.334983768071742,,,,,,,,,,,0.16666666666666666,TE,Josiah Deguara,GB,283.0,220.0,24.0,20.0,0.02120141342756184,,0.042817005925151023,0.0,,,,,1.3277037307528452,1.027050542556165,0.041906683301921016,0.9443406302075952
8,00-0024243,12.0,,1.0,2.0,64.0,5.333333333333333,7.643485759346747,7.5,5.554732165079348,1.7475644152627172,,,,,,,,,,,0.16666666666666666,TE,Marcedes Lewis,GB,283.0,220.0,24.0,20.0,0.04240282685512368,,0.049331525211637466,0.0,0.041666666666666664,,,,1.4225397115209055,1.0535769455583828,0.6705069328307363,0.9609394111190623
9,00-0036265,16.0,,,4.0,22.0,1.375,6.98363615882726,8.214285714285714,5.816110470688886,1.2124282238728306,76.0,4.671052631578948,4.615869808515969,4.0,5.0,,,,,0.06578947368421052,0.25,RB,AJ Dillon,GB,283.0,220.0,24.0,20.0,0.05653710247349823,0.34545454545454546,0.06362307334408583,0.3236430804199158,,0.2,1.051312551271534,1.0388925682234955,1.558019684046706,1.1031530814863315,0.1728650686204242,0.8779830864114546
10,00-0034272,18.0,7.0,1.0,1.0,367.0,20.38888888888889,10.010313435085273,3.125,5.043993162996076,-0.5027190790870648,,,,,,,,,,,0.05555555555555555,WR,Marquez Valdes-Scantling,GB,283.0,220.0,24.0,20.0,0.0636042402826855,,0.12834846846416595,0.0,0.041666666666666664,,,,0.5927248798003774,0.9567040772002476,2.563292128634169,1.258497104631251
11,00-0034521,22.0,1.0,2.0,3.0,223.0,10.136363636363637,8.3773566069445,5.0625,5.2315841354168535,2.4348315489885533,,,,,,,,,,,0.13636363636363635,WR,Allen Lazard,GB,283.0,220.0,24.0,20.0,0.07773851590106007,,0.10589829786028365,0.0,0.08333333333333333,,,,0.9602143052766112,0.992284824905765,1.2743441422265984,1.0532016907034365
12,00-0028002,28.0,1.0,8.0,2.0,252.0,9.0,8.173998267476591,2.35,4.55400288534703,2.3832780167316763,1.0,1.0,4.400296477674978,,,,,,,,0.07142857142857142,WR,Randall Cobb,GB,283.0,220.0,24.0,20.0,0.0989399293286219,0.004545454545454545,0.09844876809760275,0.03529411764705882,0.3333333333333333,,0.22506972928630023,0.9903735370097677,0.44572910960988377,0.8637666601049248,1.1314804491518675,1.0276354701167778
13,00-0033757,29.0,2.0,2.0,8.0,256.0,8.827586206896552,8.235577362483907,6.111111111111111,5.4508238883866476,-0.7538713472712609,,,,,,,,,,,0.27586206896551724,TE,Robert Tonyan,GB,283.0,220.0,24.0,20.0,0.10247349823321555,,0.10915819595557237,0.0,0.08333333333333333,,,,1.1591064316096267,1.0338684588982403,1.10980457847846,1.0353771970142494
14,00-0033293,41.0,1.0,3.0,22.0,33.0,0.8048780487804879,5.5684695498918435,8.393939393939394,6.442188311006379,1.1176572864375989,116.0,4.448275862068965,4.532549303009492,13.0,10.0,,,,,0.08620689655172414,0.5365853658536586,RB,Aaron Jones,GB,283.0,220.0,24.0,20.0,0.14487632508833923,0.5272727272727272,0.15192005464908023,0.4726309285979015,0.125,0.65,1.0011722440666457,1.0201396446051552,1.5920949498638015,1.2219024935336484,0.10118930846073612,0.7000682697111246
15,00-0031381,87.0,8.0,4.0,6.0,1014.0,11.655172413793103,10.175405515025226,4.586206896551724,4.963645966249925,3.116674496972205,,,,,,,,,,,0.06896551724137931,WR,Davante Adams,GB,283.0,220.0,24.0,20.0,0.30742049469964666,,0.3060032975338116,0.0,0.16666666666666666,,,,0.8698748580794503,0.9414644667894766,1.4652888575223417,1.279252489160348
16,00-0036264,,,,,,,,,,,5.0,4.6,4.451834493282551,,,-0.1589145415868511,-0.05325893997885034,43.0,,,,QB,Jordan Love,GB,283.0,220.0,24.0,20.0,,0.022727272727272728,0.0,0.10588235294117648,,,1.035320754716981,1.0019731842305173,,,,
17,00-0025580,,,,,,,,,,,,,,,,,,,19.0,,,K,Mason Crosby,GB,283.0,220.0,24.0,20.0,,,,,,,,,,,,
18,00-0033215,1.0,1.0,,,35.0,35.0,8.223293372663708,15.0,5.410242668569146,0.6467271503524401,,,,,,,,,,,,WR,Cyril Grayson,TB,341.0,168.0,31.0,24.0,0.002932551319648094,,0.01291248206599713,0.0,,,,,2.845079423041811,1.0261713393339262,4.400201746701707,1.033832853201012
19,00-0034735,1.0,,,,11.0,11.0,7.984487402514455,,5.272260548692444,-0.4407772377355775,,,,,,,,,,,,TE,Codey McElroy,TB,341.0,168.0,31.0,24.0,0.002932551319648094,,0.012311901504787962,0.0,,,,,,1.0,1.3829205489633936,1.0038101547160538
20,00-0034319,1.0,,,1.0,-2.0,-2.0,7.855134168683609,2.0,5.225845505448579,0.12392807955765606,,,,,,,,,,,1.0,TE,Deon Yelder,TB,341.0,168.0,31.0,24.0,0.002932551319648094,,0.013574660633484163,0.0,,,,,0.37934392307224146,0.9911963677031522,-0.2514400998115261,0.9875478597033679
21,00-0035298,3.0,,,1.0,18.0,6.0,7.898100745378571,4.0,5.236222828896268,-0.33441389621745554,,,,,,,,,,,0.3333333333333333,WR,Scott Miller,TB,341.0,168.0,31.0,24.0,0.008797653958944282,,0.029411764705882353,0.0,,,,,0.7586878461444829,0.9931646549969703,0.7543202994345783,0.9929496198697383
22,00-0036877,5.0,,,3.0,9.0,1.8,7.652759106959359,3.75,5.188133263401797,0.008498955821239107,1.0,11.0,4.52452008015945,,1.0,,,,,1.0,0.6,WR,Jaelon Darden,TB,341.0,168.0,31.0,24.0,0.01466275659824047,0.005952380952380952,0.029549147730516156,0.017077798861480076,,,2.4757670221493027,1.0183325095919167,0.7112698557604528,0.9840434127802142,0.2262960898303735,0.9621052568437134
23,00-0029738,5.0,,,,24.0,4.8,7.801115899664729,6.75,5.357739256860536,0.5522352681064695,,,,,,,,,,,,TE,Darren Fells,TB,341.0,168.0,31.0,24.0,0.01466275659824047,,0.026294273677640815,0.0,,,,,1.280285740368815,1.0162129142478158,0.6034562395476627,0.9807566802264914
24,00-0034816,6.0,,,5.0,-6.0,-1.0,7.431846350384832,10.75,5.577062711342021,-1.0752863379316218,44.0,4.409090909090909,4.4698410693694095,5.0,4.0,,,,,0.09090909090909091,0.8333333333333334,RB,Ronald Jones,TB,341.0,168.0,31.0,24.0,0.017595307917888565,0.2619047619047619,0.03565493652294745,0.26232790760352526,,0.20833333333333334,0.9923528973077783,1.0060259194357597,2.038973586513298,1.057812424070197,-0.12572004990576305,0.9343320940623442
25,00-0033879,19.0,,2.0,3.0,119.0,6.2631578947368425,7.6592468532763895,5.923076923076923,5.388088486646628,-0.4458552785461755,,,,,,,,,,,0.15789473684210525,TE,O.J. Howard,TB,341.0,168.0,31.0,24.0,0.05571847507331378,,0.058853935543775486,0.0,0.06451612903225806,,,,1.1234416183293305,1.0219693121924542,0.7874045230939897,0.9629208966344663
26,00-0036427,22.0,1.0,2.0,4.0,210.0,9.545454545454545,8.265705234321501,4.785714285714286,5.18582814231737,-0.18215902923724114,,,,,,,,,,,0.18181818181818182,WR,Tyler Johnson,TB,341.0,168.0,31.0,24.0,0.06451612903225806,,0.0618570413688543,0.0,0.06451612903225806,,,,0.9077158159228635,0.9836061959425527,1.2000550218277382,1.039164874565226
27,00-0027656,22.0,,4.0,1.0,205.0,9.318181818181818,8.240413122710734,4.75,5.18554849268591,2.0483897266742073,,,,,,,,,,,0.045454545454545456,TE,Rob Gronkowski,TB,341.0,168.0,31.0,24.0,0.06451612903225806,,0.10958232567426261,0.0,0.12903225806451613,,,,0.9009418172965735,0.9835531542484107,1.1714822832127922,1.0359851490312983
28,00-0030456,23.0,,4.0,12.0,12.0,0.5217391304347826,6.418842051602644,6.45,5.5303739012307425,1.397247098875751,6.0,8.5,4.736791894307677,,2.0,,,,,0.3333333333333333,0.5217391304347826,RB,Giovani Bernard,TB,341.0,168.0,31.0,24.0,0.06744868035190615,0.03571428571428571,0.06890347649347271,0.11210724759111856,0.12903225806451613,,1.913092698933552,1.0661084693373701,1.223384151907979,1.0489568658746034,0.06559306951605029,0.8069771430646949
29,00-0031273,25.0,,3.0,2.0,212.0,8.48,8.056658609491114,4.076923076923077,5.064443882246186,-2.9306340122173786,,,,,,,,,,,0.08,TE,Cameron Brate,TB,341.0,168.0,31.0,24.0,0.07331378299120235,,0.07287786768269786,0.0,0.0967741935483871,,,,0.7732779970318768,0.9605830052352407,1.0661060232008708,1.0128835224589186
30,00-0033856,39.0,,2.0,16.0,47.0,1.205128205128205,5.801225556792191,7.766666666666667,6.102961556898605,-0.41686654348435787,101.0,4.346534653465347,4.337393287739795,14.0,10.0,-64.32642936706543,-0.256792133201858,1.0,,0.09900990099009901,0.41025641025641024,RB,Leonard Fournette,TB,341.0,168.0,31.0,24.0,0.11436950146627566,0.6011904761904762,0.10893782546939673,0.5332030748457326,0.06451612903225806,0.5833333333333334,0.9782733777889684,0.9762159330798115,1.473118901263871,1.1575606896764958,0.1515087780915606,0.7293303665145023
31,00-0027793,42.0,6.0,1.0,6.0,557.0,13.261904761904763,9.688366686705749,5.586206896551724,5.377973166760008,3.8122854088613534,1.0,6.0,4.462408278917214,,,,,,,,0.14285714285714285,WR,Antonio Brown,TB,341.0,168.0,31.0,24.0,0.12316715542521994,0.005952380952380952,0.16650065014239054,0.037815126050420166,0.03225806451612903,,1.3504183757178014,1.0043530233008422,1.059546819615571,1.0200507196279938,1.6672873285121435,1.218021943357979
32,00-0031408,63.0,9.0,7.0,1.0,925.0,14.682539682539682,11.229930211081799,2.5641025641025643,4.095437009756462,1.894742159835015,,,,,,,,,,,0.015873015873015872,WR,Mike Evans,TB,341.0,168.0,31.0,24.0,0.18475073313782991,,0.17625482893340294,0.0,0.22580645161290322,,,,0.48633836291313015,0.776789570988133,1.8458896216322354,1.41182738657544
33,00-0033921,69.0,3.0,6.0,14.0,581.0,8.420289855072463,8.09568903503413,7.22,6.4744936303239395,2.0577131756919176,2.0,2.0,4.412718837923425,2.0,,,,,,,0.2028985507246377,WR,Chris Godwin,TB,341.0,168.0,31.0,24.0,0.20234604105571846,0.011904761904761904,0.19864579151932799,0.05083303792981213,0.1935483870967742,0.08333333333333333,0.45013945857260046,0.9931694342679825,1.3694315622907918,1.228029906816661,1.0585992608007004,1.0177904295060296
34,00-0036450,,,,,,,,,,,5.0,5.4,4.500723889325736,,1.0,,,,,0.2,,RB,Ke'Shawn Vaughn,TB,341.0,168.0,31.0,24.0,,0.02976190476190476,0.0,0.08538899430740038,,,1.2153765381460213,1.0129767073629279,,,,
35,00-0019596,,,,,,,,,,,8.0,5.5,4.54403332861002,3.0,1.0,2.519216642765228,1.6495128309380809,354.0,,0.125,,QB,Tom Brady,TB,341.0,168.0,31.0,24.0,,0.047619047619047616,0.0,0.07595302892826886,,0.125,1.2378835110746513,1.022724351138183,,,,
36,00-0027948,,,,,,,,,,,,,,,,13.018868863582611,0.30467973292917583,6.0,,,,QB,Blaine Gabbert,TB,341.0,168.0,31.0,24.0,,,,,,,,,,,,
37,00-0026968,,,,,,,,,,,,,,,,,,,11.0,,,K,Ryan Succop,TB,341.0,168.0,31.0,24.0,,,,,,,,,,,,
38,00-0032065,,,,,,,,,,,,,,,,,,,1.0,,,P,Bradley Pinion,TB,341.0,168.0,31.0,24.0,,,,,,,,,,,,
39,00-0032450,1.0,,,,2.0,2.0,7.894935163708485,4.0,5.25421429977482,0.149658426123472,1.0,5.0,4.449985918668767,,,,,,,,,RB,Dwayne Washington,NO,225.0,236.0,19.0,21.0,0.0044444444444444444,0.00423728813559322,0.020361990950226245,0.013574660633484163,,,1.1253486464315012,1.0015571260426273,0.7586878461444829,0.9965771325694253,0.2514400998115261,0.9925516427841944
