,team,offense_pass_oe,defense_pass_oe,goal_offense_pass_oe,offense_snaps,defense_snaps,defense_yac_oe,defense_yac,defense_cpoe,defense_air_yards,defense_ypc,targets,carries,red_zone_targets,red_zone_carries,deep_targets,defense_sacks,offense_sacks,defense_tfl,offense_tfl,defense_holds_drawn,offense_holds_drawn,offense_pen_rate,defense_pen_rate,offense_hold_rate,defense_hold_rate
0,TEN,-7.493712484444442,3.8803285308003206,-6.39565171379792,588,556,-0.35381556078178744,5.075376884422111,0.6169171069489152,8.259493670886076,4.5139664804469275,256,255,15,21,10,18.0,24.0,13.0,21.0,15.0,9.0,0.07653061224489796,0.05575539568345324,0.015306122448979591,0.02697841726618705
1,CLE,-5.319709439744365,-0.1676186997600212,-14.610912054777145,544,517,0.5104700893349172,5.901234567901234,-2.5453474124272666,7.909090909090909,3.7027027027027026,233,245,12,27,15,22.0,23.0,14.0,19.0,10.0,12.0,0.07720588235294118,0.06963249516441006,0.022058823529411766,0.019342359767891684
2,SF,-4.770875466109692,-0.08432257332299872,-3.1227221246808767,447,471,-0.8133281440332981,4.9523809523809526,2.853829636473522,8.461187214611872,4.591836734693878,214,187,12,15,5,16.0,11.0,22.0,16.0,7.0,11.0,0.06040268456375839,0.08067940552016985,0.024608501118568233,0.014861995753715499
3,CHI,-3.7165979514034784,-0.3232320950514595,-13.862833669108731,505,508,0.7442015210242472,5.9875,-0.7089288269050815,8.616935483870968,4.908212560386473,203,235,9,18,12,21.0,30.0,17.0,18.0,9.0,6.0,0.09504950495049505,0.07480314960629922,0.011881188118811881,0.017716535433070866
4,NO,-3.656286573796361,3.354641554416508,5.307864321347995,449,476,0.49527540357345623,5.8343558282208585,-1.137581595685333,9.617977528089888,3.50314465408805,182,210,15,18,14,16.0,12.0,19.0,10.0,8.0,8.0,0.04899777282850779,0.07352941176470588,0.017817371937639197,0.01680672268907563
5,HOU,-3.0774738875756724,-2.5733054424238992,-0.32095696244921,501,528,-0.22876553388238297,4.868263473053892,0.8588180743127205,8.193548387096774,5.093617021276596,241,186,10,13,13,15.0,21.0,20.0,14.0,9.0,17.0,0.06986027944111776,0.06628787878787878,0.033932135728542916,0.017045454545454544
6,MIN,-2.175306476756722,-1.7330343872625102,3.3394752144813538,517,485,0.6804818816808744,6.433333333333334,-1.8053300484367039,9.10655737704918,4.628415300546448,263,193,12,11,11,24.0,10.0,6.0,23.0,11.0,15.0,0.06382978723404255,0.061855670103092786,0.029013539651837523,0.02268041237113402
7,DET,-2.0872812351844305,-0.5132634559127149,-13.598381800036277,560,499,0.2998251596663731,5.66887417218543,5.249721447438425,9.972602739726028,4.614406779661017,295,183,16,17,6,14.0,23.0,17.0,15.0,12.0,7.0,0.06785714285714285,0.06212424849699399,0.0125,0.02404809619238477
8,JAX,-1.3928083362786665,2.439791608919722,-11.61399603717857,481,476,-0.10469524358671495,4.875,10.30270421692917,8.721238938053098,3.771144278606965,264,158,15,19,11,11.0,11.0,13.0,9.0,4.0,9.0,0.04158004158004158,0.05042016806722689,0.018711018711018712,0.008403361344537815
9,SEA,-0.6355386055054117,-1.2655756136212803,-0.7424920797348022,468,612,0.1962482726440554,5.319047619047619,0.7739626907993674,7.643962848297214,4.351694915254237,206,192,6,13,11,14.0,26.0,17.0,22.0,11.0,5.0,0.10256410256410256,0.05065359477124183,0.010683760683760684,0.017973856209150325
10,DEN,-0.5422712435157112,0.22534939860663264,4.273323559512694,521,517,0.00041874221539954596,5.406451612903226,-4.441006394336,9.135849056603774,4.268421052631579,271,185,20,12,16,20.0,25.0,12.0,16.0,9.0,7.0,0.07869481765834933,0.061895551257253385,0.013435700575815739,0.017408123791102514
11,CIN,-0.5193941005576057,2.43440109150141,22.264582278399633,489,587,-0.18057319180425785,5.085972850678733,1.5336189063111687,7.304615384615385,4.102150537634409,242,195,17,9,16,21.0,20.0,19.0,21.0,12.0,8.0,0.08384458077709611,0.06814310051107325,0.016359918200409,0.020442930153321975
12,IND,-0.37431241724187075,-1.3693631696070914,-0.7266011025946019,612,596,-0.23413280042861961,4.929906542056075,2.744848374894123,7.601941747572815,4.115384615384615,294,238,26,31,14,19.0,17.0,21.0,20.0,6.0,12.0,0.06045751633986928,0.06711409395973154,0.0196078431372549,0.010067114093959731
