,player_id,week,targets_wk,red_zone_targets_wk,deep_targets_wk,air_yards_per_target_wk,carries_wk,red_zone_carries_wk,yards_per_carry_wk,available,position,team,targets_wk_team,carries_wk_team,target_percentage_wk,carry_percentage_wk,player_name
0,00-0023459,3.0,1.0,,,-4.0,,,,True,QB,GB,31.0,25.0,0.03225806451612903,,Aa.Rodgers
1,00-0034521,3.0,1.0,,,23.0,,,,True,WR,GB,31.0,25.0,0.03225806451612903,,A.Lazard
2,00-0033757,3.0,1.0,1.0,,-1.0,,,,True,TE,GB,31.0,25.0,0.03225806451612903,,R.Tonyan
3,00-0036332,3.0,1.0,,,0.0,,,,True,TE,GB,31.0,25.0,0.03225806451612903,,J.Deguara
4,00-0028002,3.0,1.0,1.0,,3.0,,,,True,WR,GB,31.0,25.0,0.03225806451612903,,R.Cobb
5,00-0033293,3.0,2.0,1.0,,-1.5,19.0,2.0,4.315789473684211,True,RB,GB,31.0,25.0,0.06451612903225806,0.76,A.Jones
6,00-0036265,3.0,2.0,,,1.0,6.0,,3.0,True,RB,GB,31.0,25.0,0.06451612903225806,0.24,A.Dillon
7,00-0034272,3.0,4.0,,2.0,20.25,,,,True,WR,GB,31.0,25.0,0.12903225806451613,,M.Valdes-Scantling
8,00-0031381,3.0,18.0,1.0,2.0,14.055555555555555,,,,True,WR,GB,31.0,25.0,0.5806451612903226,,D.Adams
9,00-0033124,3.0,,,,,,,,False,DB,GB,31.0,25.0,,,Unknown
10,00-0036243,3.0,,,,,,,,False,DB,GB,31.0,25.0,,,Unknown
11,00-0035085,3.0,,,,,,,,False,LB,GB,31.0,25.0,,,Unknown
12,00-0031576,3.0,,,,,,,,False,LB,GB,31.0,25.0,,,Unknown
13,00-0033524,3.0,,,,,,,,False,CB,GB,31.0,25.0,,,Unknown
14,00-0036456,3.0,,,,,,,,False,TE,GB,31.0,25.0,,,D.Dafney
15,00-0031951,2.0,1.0,,,20.0,,,,True,TE,JAX,34.0,16.0,0.029411764705882353,,J.O'Shaughnessy
16,00-0035457,2.0,1.0,,1.0,44.0,,,,True,WR,JAX,34.0,16.0,0.029411764705882353,,T.Johnson
17,00-0031484,2.0,1.0,,,9.0,,,,True,TE,JAX,34.0,16.0,0.029411764705882353,,C.Manhertz
18,00-0032951,2.0,1.0,,1.0,32.0,,,,True,WR,JAX,34.0,16.0,0.029411764705882353,,L.Treadwell
19,00-0036887,2.0,2.0,,,12.0,,,,True,TE,JAX,34.0,16.0,0.058823529411764705,,L.Farrell
20,00-0031045,2.0,2.0,,,4.0,2.0,,3.5,True,RB,JAX,34.0,16.0,0.058823529411764705,0.125,C.Hyde
21,00-0035831,2.0,3.0,,,-2.3333333333333335,11.0,,4.2727272727272725,True,RB,JAX,34.0,16.0,0.08823529411764706,0.6875,J.Robinson
22,00-0034011,2.0,4.0,,,11.75,,,,True,TE,JAX,34.0,16.0,0.11764705882352941,,D.Arnold
23,00-0034777,2.0,5.0,1.0,,15.5,,,,True,WR,JAX,34.0,16.0,0.14705882352941177,,D.Chark
24,00-0036268,2.0,7.0,,,5.428571428571429,1.0,,0.0,True,WR,JAX,34.0,16.0,0.20588235294117646,0.0625,L.Shenault
25,00-0029293,2.0,11.0,,2.0,15.909090909090908,,,,True,WR,JAX,34.0,16.0,0.3235294117647059,,M.Jones
26,00-0036971,2.0,,,,,2.0,,10.5,True,QB,JAX,34.0,16.0,,0.125,T.Lawrence
27,00-0030525,2.0,,,,,,,,False,WR,JAX,34.0,16.0,,,T.Austin
28,00-0031176,2.0,,,,,,,,False,CB,JAX,34.0,16.0,,,Unknown
29,00-0033387,2.0,,,,,,,,False,TE,JAX,34.0,16.0,,,J.Hollister
30,00-0034516,2.0,,,,,,,,False,CB,JAX,34.0,16.0,,,Unknown
31,00-0035313,2.0,,,,,,,,False,WR,JAX,34.0,16.0,,,Unknown
32,00-0036973,2.0,,,,,,,,False,RB,JAX,34.0,16.0,,,Unknown
33,00-0036508,2.0,,,,,,,,False,LB,JAX,34.0,16.0,,,Unknown
34,00-0036881,2.0,,,,,,,,False,DT,JAX,34.0,16.0,,,Unknown
35,00-0036868,2.0,,,,,,,,False,DE,JAX,34.0,16.0,,,Unknown
36,00-0029799,2.0,,,,,,,,False,DE,JAX,34.0,16.0,,,Unknown
37,00-0034930,3.0,1.0,,,-2.0,,,,True,WR,DET,28.0,27.0,0.03571428571428571,,T.Benson
38,00-0034854,3.0,1.0,,,9.0,,,,True,WR,DET,28.0,27.0,0.03571428571428571,,K.Hodge
39,00-0036277,3.0,1.0,,,4.0,,,,True,WR,DET,28.0,27.0,0.03571428571428571,,Q.Cephus
40,00-0036963,3.0,1.0,1.0,,-4.0,,,,True,WR,DET,28.0,27.0,0.03571428571428571,,A.St. Brown
41,00-0033948,3.0,2.0,,,-1.5,12.0,1.0,3.5,True,RB,DET,28.0,27.0,0.07142857142857142,0.4444444444444444,J.Williams
42,00-0035229,3.0,2.0,,,4.0,,,,True,TE,DET,28.0,27.0,0.07142857142857142,,T.Hockenson
43,00-0029738,3.0,3.0,,,7.333333333333333,,,,True,TE,DET,28.0,27.0,0.10714285714285714,,D.Fells
44,00-0036275,3.0,7.0,1.0,,-1.8571428571428572,14.0,2.0,3.357142857142857,True,RB,DET,28.0,27.0,0.25,0.5185185185185185,D.Swift
45,00-0032464,3.0,10.0,,1.0,10.9,,,,True,WR,DET,28.0,27.0,0.35714285714285715,,K.Raymond
46,00-0033106,3.0,,,,,1.0,,4.0,True,QB,DET,28.0,27.0,,0.037037037037037035,J.Goff
47,00-0034371,3.0,,,,,,,,False,DT,DET,28.0,27.0,,,Unknown
48,00-0034336,3.0,,,,,,,,False,LB,DET,28.0,27.0,,,Unknown
49,00-0034177,3.0,,,,,,,,False,QB,DET,28.0,27.0,,,Unknown
50,00-0035544,3.0,,,,,,,,False,WR,DET,28.0,27.0,,,T.Kennedy
51,00-0036008,3.0,,,,,,,,False,TE,DET,28.0,27.0,,,Unknown
52,00-0036444,3.0,,,,,,,,False,DT,DET,28.0,27.0,,,Unknown
53,00-0036670,3.0,,,,,,,,False,RB,DET,28.0,27.0,,,J.Jefferson
54,00-0032160,3.0,,,,,,,,False,WR,DET,28.0,27.0,,,T.Williams
55,00-0035334,3.0,,,,,,,,False,DE,DET,28.0,27.0,,,Unknown
56,00-0036274,3.0,,,,,,,,False,CB,DET,28.0,27.0,,,Unknown
57,00-0031566,3.0,,,,,,,,False,LB,DET,28.0,27.0,,,Unknown
58,00-0035145,3.0,,,,,,,,False,K,DET,28.0,27.0,,,A.Seibert
59,00-0036993,3.0,,,,,,,,False,CB,DET,28.0,27.0,,,Unknown
60,00-0034903,4.0,1.0,,,10.0,,,,True,CB,LAC,38.0,32.0,0.02631578947368421,,T.Campbell
61,00-0032725,4.0,1.0,,,12.0,,,,True,TE,LAC,38.0,32.0,0.02631578947368421,,S.Anderson
62,00-0035414,4.0,2.0,,,12.5,2.0,,10.0,True,WR,LAC,38.0,32.0,0.05263157894736842,0.0625,J.Guyton
